time,posix_timestamp,taurus.alpha.energy
2021-05-27T14:31:15.331379+00:00,1622125875.331379,217550.08400000003
2021-05-27T14:31:16.338617+00:00,1622125876.338617,217550.10100000002
2021-05-27T14:31:17.360186+00:00,1622125877.360186,217550.11699999994
2021-05-27T14:31:18.335734+00:00,1622125878.335734,217550.13400000002
2021-05-27T14:31:19.331207+00:00,1622125879.331207,217550.15100000004
2021-05-27T14:31:20.331063+00:00,1622125880.331063,217550.16599999997
2021-05-27T14:31:21.333460+00:00,1622125881.33346,217550.18400000004
2021-05-27T14:31:22.366301+00:00,1622125882.366301,217550.199
2021-05-27T14:31:23.338586+00:00,1622125883.338586,217550.215
2021-05-27T14:31:24.339891+00:00,1622125884.339891,217550.23400000003
2021-05-27T14:31:25.330611+00:00,1622125885.330611,217550.25200000004
2021-05-27T14:31:26.332363+00:00,1622125886.332363,217550.26900000003
2021-05-27T14:31:27.350009+00:00,1622125887.350009,217550.28599999993
2021-05-27T14:31:28.339260+00:00,1622125888.33926,217550.30200000003
2021-05-27T14:31:29.344271+00:00,1622125889.344271,217550.318
2021-05-27T14:31:30.329988+00:00,1622125890.329988,217550.33700000003
2021-05-27T14:31:31.330431+00:00,1622125891.330431,217550.354
2021-05-27T14:31:32.348728+00:00,1622125892.348728,217550.37
2021-05-27T14:31:33.334999+00:00,1622125893.334999,217550.388
2021-05-27T14:31:34.329771+00:00,1622125894.329771,217550.40600000002
2021-05-27T14:31:35.330998+00:00,1622125895.330998,217550.424
2021-05-27T14:31:36.332100+00:00,1622125896.3321,217550.44200000004
2021-05-27T14:31:37.343966+00:00,1622125897.343966,217550.46000000002
2021-05-27T14:31:38.336240+00:00,1622125898.33624,217550.476
2021-05-27T14:31:39.331499+00:00,1622125899.331499,217550.49500000002
2021-05-27T14:31:40.334027+00:00,1622125900.334027,217550.51099999997
2021-05-27T14:31:41.329823+00:00,1622125901.329823,217550.53000000006
2021-05-27T14:31:42.347785+00:00,1622125902.347785,217550.548
2021-05-27T14:31:43.334666+00:00,1622125903.334666,217550.56599999996
2021-05-27T14:31:44.335023+00:00,1622125904.335023,217550.586
2021-05-27T14:31:45.332401+00:00,1622125905.332401,217550.602
2021-05-27T14:31:46.333354+00:00,1622125906.333354,217550.624
2021-05-27T14:31:47.362288+00:00,1622125907.362288,217550.64199999996
2021-05-27T14:31:48.337969+00:00,1622125908.337969,217550.66000000003
2021-05-27T14:31:49.330055+00:00,1622125909.330055,217550.67799999993
2021-05-27T14:31:50.331585+00:00,1622125910.331585,217550.7
2021-05-27T14:31:51.330200+00:00,1622125911.3302,217550.718
2021-05-27T14:31:52.346525+00:00,1622125912.346525,217550.741
2021-05-27T14:31:53.334056+00:00,1622125913.334056,217550.761
2021-05-27T14:31:54.335295+00:00,1622125914.335295,217550.8
2021-05-27T14:31:55.331454+00:00,1622125915.331454,217550.825
2021-05-27T14:31:56.342025+00:00,1622125916.342025,217550.84900000002
2021-05-27T14:31:57.345325+00:00,1622125917.345325,217550.86599999998
2021-05-27T14:31:58.331312+00:00,1622125918.331312,217550.883
2021-05-27T14:31:59.337654+00:00,1622125919.337654,217550.90000000005
2021-05-27T14:32:00.329895+00:00,1622125920.329895,217550.921
2021-05-27T14:32:01.332958+00:00,1622125921.332958,217550.939
2021-05-27T14:32:02.346636+00:00,1622125922.346636,217550.956
2021-05-27T14:32:03.330066+00:00,1622125923.330066,217550.97199999995
2021-05-27T14:32:04.334170+00:00,1622125924.33417,217550.99000000002
2021-05-27T14:32:05.344114+00:00,1622125925.344114,217551.00799999997
2021-05-27T14:32:06.330491+00:00,1622125926.330491,217551.026
2021-05-27T14:32:07.338935+00:00,1622125927.338935,217551.04200000002
2021-05-27T14:32:08.329766+00:00,1622125928.329766,217551.059
2021-05-27T14:32:09.329815+00:00,1622125929.329815,217551.076
2021-05-27T14:32:10.334149+00:00,1622125930.334149,217551.09199999998
2021-05-27T14:32:11.334464+00:00,1622125931.334464,217551.112
2021-05-27T14:32:12.346531+00:00,1622125932.346531,217551.13099999996
2021-05-27T14:32:13.336149+00:00,1622125933.336149,217551.149
2021-05-27T14:32:14.330357+00:00,1622125934.330357,217551.16899999997
2021-05-27T14:32:15.332553+00:00,1622125935.332553,217551.19099999996
2021-05-27T14:32:16.330510+00:00,1622125936.33051,217551.209
2021-05-27T14:32:17.344800+00:00,1622125937.3448,217551.22900000005
2021-05-27T14:32:18.330611+00:00,1622125938.330611,217551.25099999996
2021-05-27T14:32:19.330034+00:00,1622125939.330034,217551.27000000002
2021-05-27T14:32:20.334884+00:00,1622125940.334884,217551.288
2021-05-27T14:32:21.333544+00:00,1622125941.333544,217551.309
2021-05-27T14:32:22.346907+00:00,1622125942.346907,217551.32599999997
2021-05-27T14:32:23.330583+00:00,1622125943.330583,217551.34800000006
2021-05-27T14:32:24.331499+00:00,1622125944.331499,217551.37099999996
2021-05-27T14:32:25.331305+00:00,1622125945.331305,217551.38800000004
2021-05-27T14:32:26.330107+00:00,1622125946.330107,217551.407
2021-05-27T14:32:27.341474+00:00,1622125947.341474,217551.429
2021-05-27T14:32:28.334075+00:00,1622125948.334075,217551.448
2021-05-27T14:32:29.330720+00:00,1622125949.33072,217551.467
2021-05-27T14:32:30.333142+00:00,1622125950.333142,217551.48700000002
2021-05-27T14:32:31.334258+00:00,1622125951.334258,217551.507
2021-05-27T14:32:32.345844+00:00,1622125952.345844,217551.527
2021-05-27T14:32:33.329749+00:00,1622125953.329749,217551.549
2021-05-27T14:32:34.335654+00:00,1622125954.335654,217551.56600000002
2021-05-27T14:32:35.333440+00:00,1622125955.33344,217551.58500000002
2021-05-27T14:32:36.331707+00:00,1622125956.331707,217551.604
2021-05-27T14:32:37.367290+00:00,1622125957.36729,217551.622
2021-05-27T14:32:38.331221+00:00,1622125958.331221,217551.63999999998
2021-05-27T14:32:39.332624+00:00,1622125959.332624,217551.65699999998
2021-05-27T14:32:40.328965+00:00,1622125960.328965,217551.678
2021-05-27T14:32:41.332570+00:00,1622125961.33257,217551.699
2021-05-27T14:32:42.341717+00:00,1622125962.341717,217551.73400000003
2021-05-27T14:32:43.329749+00:00,1622125963.329749,217551.77499999997
2021-05-27T14:32:44.333656+00:00,1622125964.333656,217551.819
2021-05-27T14:32:45.335223+00:00,1622125965.335223,217551.861
2021-05-27T14:32:46.340174+00:00,1622125966.340174,217551.90599999996
2021-05-27T14:32:47.352282+00:00,1622125967.352282,217551.94700000004
2021-05-27T14:32:48.340377+00:00,1622125968.340377,217551.99300000002
2021-05-27T14:32:49.332506+00:00,1622125969.332506,217552.035
2021-05-27T14:32:50.330462+00:00,1622125970.330462,217552.079
2021-05-27T14:32:51.330750+00:00,1622125971.33075,217552.12400000004
2021-05-27T14:32:52.345791+00:00,1622125972.345791,217552.17200000002
2021-05-27T14:32:53.332407+00:00,1622125973.332407,217552.21899999998
2021-05-27T14:32:54.330684+00:00,1622125974.330684,217552.265
2021-05-27T14:32:55.331925+00:00,1622125975.331925,217552.31400000004
2021-05-27T14:32:56.336680+00:00,1622125976.33668,217552.361
2021-05-27T14:32:57.368410+00:00,1622125977.36841,217552.40800000005
2021-05-27T14:32:58.335932+00:00,1622125978.335932,217552.458
2021-05-27T14:32:59.332479+00:00,1622125979.332479,217552.50400000002
2021-05-27T14:33:00.329629+00:00,1622125980.329629,217552.554
2021-05-27T14:33:01.347098+00:00,1622125981.347098,217552.60400000002
2021-05-27T14:33:02.346680+00:00,1622125982.34668,217552.65400000004
2021-05-27T14:33:03.332374+00:00,1622125983.332374,217552.704
2021-05-27T14:33:04.330441+00:00,1622125984.330441,217552.75300000003
2021-05-27T14:33:05.331535+00:00,1622125985.331535,217552.802
2021-05-27T14:33:06.333767+00:00,1622125986.333767,217552.85299999997
2021-05-27T14:33:07.343787+00:00,1622125987.343787,217552.90300000002
2021-05-27T14:33:08.340135+00:00,1622125988.340135,217552.951
2021-05-27T14:33:09.332912+00:00,1622125989.332912,217553.00199999998
2021-05-27T14:33:10.331229+00:00,1622125990.331229,217553.05399999997
2021-05-27T14:33:11.332696+00:00,1622125991.332696,217553.10700000002
2021-05-27T14:33:12.353833+00:00,1622125992.353833,217553.15700000004
2021-05-27T14:33:13.331276+00:00,1622125993.331276,217553.20700000002
2021-05-27T14:33:14.335819+00:00,1622125994.335819,217553.257
2021-05-27T14:33:15.330137+00:00,1622125995.330137,217553.31000000006
2021-05-27T14:33:16.336120+00:00,1622125996.33612,217553.36
2021-05-27T14:33:17.358698+00:00,1622125997.358698,217553.411
2021-05-27T14:33:18.333191+00:00,1622125998.333191,217553.46300000002
2021-05-27T14:33:19.330528+00:00,1622125999.330528,217553.51400000002
2021-05-27T14:33:20.332066+00:00,1622126000.332066,217553.56600000002
2021-05-27T14:33:21.333379+00:00,1622126001.333379,217553.618
2021-05-27T14:33:22.344178+00:00,1622126002.344178,217553.671
2021-05-27T14:33:23.331056+00:00,1622126003.331056,217553.723
2021-05-27T14:33:24.340627+00:00,1622126004.340627,217553.775
2021-05-27T14:33:25.333089+00:00,1622126005.333089,217553.82700000002
2021-05-27T14:33:26.331788+00:00,1622126006.331788,217553.87900000002
2021-05-27T14:33:27.351646+00:00,1622126007.351646,217553.92899999997
2021-05-27T14:33:28.344019+00:00,1622126008.344019,217553.982
2021-05-27T14:33:29.338421+00:00,1622126009.338421,217554.035
2021-05-27T14:33:30.333912+00:00,1622126010.333912,217554.086
2021-05-27T14:33:31.329531+00:00,1622126011.329531,217554.14
2021-05-27T14:33:32.348658+00:00,1622126012.348658,217554.19
2021-05-27T14:33:33.335584+00:00,1622126013.335584,217554.24299999996
2021-05-27T14:33:34.347948+00:00,1622126014.347948,217554.294
2021-05-27T14:33:35.333102+00:00,1622126015.333102,217554.349
2021-05-27T14:33:36.329643+00:00,1622126016.329643,217554.40099999998
2021-05-27T14:33:37.352282+00:00,1622126017.352282,217554.45400000003
2021-05-27T14:33:38.338818+00:00,1622126018.338818,217554.504
2021-05-27T14:33:39.338304+00:00,1622126019.338304,217554.559
2021-05-27T14:33:40.337023+00:00,1622126020.337023,217554.61000000002
2021-05-27T14:33:41.338539+00:00,1622126021.338539,217554.66600000003
2021-05-27T14:33:42.350720+00:00,1622126022.35072,217554.716
2021-05-27T14:33:43.333818+00:00,1622126023.333818,217554.77000000002
2021-05-27T14:33:44.343364+00:00,1622126024.343364,217554.821
2021-05-27T14:33:45.336460+00:00,1622126025.33646,217554.87499999997
2021-05-27T14:33:46.340824+00:00,1622126026.340824,217554.92699999997
2021-05-27T14:33:47.343970+00:00,1622126027.34397,217554.98
2021-05-27T14:33:48.338290+00:00,1622126028.33829,217555.03200000004
2021-05-27T14:33:49.331237+00:00,1622126029.331237,217555.08700000003
2021-05-27T14:33:50.329616+00:00,1622126030.329616,217555.141
2021-05-27T14:33:51.332250+00:00,1622126031.33225,217555.19500000004
2021-05-27T14:33:52.355991+00:00,1622126032.355991,217555.24800000002
2021-05-27T14:33:53.330269+00:00,1622126033.330269,217555.3
2021-05-27T14:33:54.343363+00:00,1622126034.343363,217555.35400000002
2021-05-27T14:33:55.335163+00:00,1622126035.335163,217555.40499999997
2021-05-27T14:33:56.329130+00:00,1622126036.32913,217555.45799999998
2021-05-27T14:33:57.350434+00:00,1622126037.350434,217555.50999999998
2021-05-27T14:33:58.330613+00:00,1622126038.330613,217555.565
2021-05-27T14:33:59.338266+00:00,1622126039.338266,217555.616
2021-05-27T14:34:00.329382+00:00,1622126040.329382,217555.672
2021-05-27T14:34:01.332505+00:00,1622126041.332505,217555.72499999998
2021-05-27T14:34:02.343209+00:00,1622126042.343209,217555.77800000005
2021-05-27T14:34:03.331604+00:00,1622126043.331604,217555.83100000003
2021-05-27T14:34:04.338979+00:00,1622126044.338979,217555.883
2021-05-27T14:34:05.344627+00:00,1622126045.344627,217555.93799999997
2021-05-27T14:34:06.341231+00:00,1622126046.341231,217555.989
2021-05-27T14:34:07.348630+00:00,1622126047.34863,217556.04400000002
2021-05-27T14:34:08.335737+00:00,1622126048.335737,217556.09600000002
2021-05-27T14:34:09.330691+00:00,1622126049.330691,217556.149
2021-05-27T14:34:10.332663+00:00,1622126050.332663,217556.20299999995
2021-05-27T14:34:11.330583+00:00,1622126051.330583,217556.256
2021-05-27T14:34:12.348013+00:00,1622126052.348013,217556.31
2021-05-27T14:34:13.329428+00:00,1622126053.329428,217556.36099999998
2021-05-27T14:34:14.332673+00:00,1622126054.332673,217556.416
2021-05-27T14:34:15.343897+00:00,1622126055.343897,217556.468
2021-05-27T14:34:16.332188+00:00,1622126056.332188,217556.522
2021-05-27T14:34:17.344057+00:00,1622126057.344057,217556.575
2021-05-27T14:34:18.333870+00:00,1622126058.33387,217556.63
2021-05-27T14:34:19.329804+00:00,1622126059.329804,217556.68300000002
2021-05-27T14:34:20.333925+00:00,1622126060.333925,217556.735
2021-05-27T14:34:21.334249+00:00,1622126061.334249,217556.789
2021-05-27T14:34:22.344880+00:00,1622126062.34488,217556.84200000003
2021-05-27T14:34:23.332866+00:00,1622126063.332866,217556.89500000002
2021-05-27T14:34:24.333627+00:00,1622126064.333627,217556.949
2021-05-27T14:34:25.329302+00:00,1622126065.329302,217557.003
2021-05-27T14:34:26.330257+00:00,1622126066.330257,217557.05600000004
2021-05-27T14:34:27.349426+00:00,1622126067.349426,217557.111
2021-05-27T14:34:28.347385+00:00,1622126068.347385,217557.162
2021-05-27T14:34:29.340010+00:00,1622126069.34001,217557.21700000003
2021-05-27T14:34:30.329720+00:00,1622126070.32972,217557.269
2021-05-27T14:34:31.329625+00:00,1622126071.329625,217557.32200000001
2021-05-27T14:34:32.365498+00:00,1622126072.365498,217557.37600000005
2021-05-27T14:34:33.337623+00:00,1622126073.337623,217557.43
2021-05-27T14:34:34.333309+00:00,1622126074.333309,217557.483
2021-05-27T14:34:35.333163+00:00,1622126075.333163,217557.53700000004
2021-05-27T14:34:36.329382+00:00,1622126076.329382,217557.58800000005
2021-05-27T14:34:37.345171+00:00,1622126077.345171,217557.641
2021-05-27T14:34:38.340519+00:00,1622126078.340519,217557.69600000003
2021-05-27T14:34:39.330375+00:00,1622126079.330375,217557.75100000002
2021-05-27T14:34:40.331406+00:00,1622126080.331406,217557.804
2021-05-27T14:34:41.331797+00:00,1622126081.331797,217557.855
2021-05-27T14:34:42.338848+00:00,1622126082.338848,217557.909
2021-05-27T14:34:43.338430+00:00,1622126083.33843,217557.961
2021-05-27T14:34:44.330534+00:00,1622126084.330534,217558.01499999996
2021-05-27T14:34:45.334639+00:00,1622126085.334639,217558.069
2021-05-27T14:34:46.331543+00:00,1622126086.331543,217558.122
2021-05-27T14:34:47.346664+00:00,1622126087.346664,217558.17500000002
2021-05-27T14:34:48.330456+00:00,1622126088.330456,217558.23100000006
2021-05-27T14:34:49.331032+00:00,1622126089.331032,217558.28000000003
2021-05-27T14:34:50.336021+00:00,1622126090.336021,217558.335
2021-05-27T14:34:51.330907+00:00,1622126091.330907,217558.388
2021-05-27T14:34:52.345962+00:00,1622126092.345962,217558.44100000002
2021-05-27T14:34:53.338315+00:00,1622126093.338315,217558.49400000004
2021-05-27T14:34:54.338788+00:00,1622126094.338788,217558.54799999998
2021-05-27T14:34:55.338869+00:00,1622126095.338869,217558.601
2021-05-27T14:34:56.340255+00:00,1622126096.340255,217558.65399999998
2021-05-27T14:34:57.342742+00:00,1622126097.342742,217558.707
2021-05-27T14:34:58.328899+00:00,1622126098.328899,217558.75899999996
2021-05-27T14:34:59.330715+00:00,1622126099.330715,217558.81300000002
2021-05-27T14:35:00.342694+00:00,1622126100.342694,217558.86500000005
2021-05-27T14:35:01.332578+00:00,1622126101.332578,217558.919
2021-05-27T14:35:02.347492+00:00,1622126102.347492,217558.97100000002
2021-05-27T14:35:03.335876+00:00,1622126103.335876,217559.026
2021-05-27T14:35:04.339214+00:00,1622126104.339214,217559.07900000003
2021-05-27T14:35:05.338448+00:00,1622126105.338448,217559.132
2021-05-27T14:35:06.337845+00:00,1622126106.337845,217559.185
2021-05-27T14:35:07.336514+00:00,1622126107.336514,217559.237
2021-05-27T14:35:08.331375+00:00,1622126108.331375,217559.28999999998
2021-05-27T14:35:09.331050+00:00,1622126109.33105,217559.34299999996
2021-05-27T14:35:10.334248+00:00,1622126110.334248,217559.395
2021-05-27T14:35:11.334338+00:00,1622126111.334338,217559.44599999997
2021-05-27T14:35:12.347561+00:00,1622126112.347561,217559.5
2021-05-27T14:35:13.332019+00:00,1622126113.332019,217559.552
2021-05-27T14:35:14.331106+00:00,1622126114.331106,217559.605
2021-05-27T14:35:15.329663+00:00,1622126115.329663,217559.66000000003
2021-05-27T14:35:16.330561+00:00,1622126116.330561,217559.711
2021-05-27T14:35:17.356237+00:00,1622126117.356237,217559.765
2021-05-27T14:35:18.330107+00:00,1622126118.330107,217559.817
2021-05-27T14:35:19.334002+00:00,1622126119.334002,217559.87099999998
2021-05-27T14:35:20.337292+00:00,1622126120.337292,217559.92299999998
2021-05-27T14:35:21.330134+00:00,1622126121.330134,217559.976
2021-05-27T14:35:22.346130+00:00,1622126122.34613,217560.02699999997
2021-05-27T14:35:23.329779+00:00,1622126123.329779,217560.082
2021-05-27T14:35:24.329610+00:00,1622126124.32961,217560.13400000002
2021-05-27T14:35:25.331006+00:00,1622126125.331006,217560.18600000005
2021-05-27T14:35:26.331009+00:00,1622126126.331009,217560.23700000002
2021-05-27T14:35:27.348249+00:00,1622126127.348249,217560.28999999998
2021-05-27T14:35:28.329857+00:00,1622126128.329857,217560.343
2021-05-27T14:35:29.330528+00:00,1622126129.330528,217560.39500000002
2021-05-27T14:35:30.332417+00:00,1622126130.332417,217560.44700000001
2021-05-27T14:35:31.333933+00:00,1622126131.333933,217560.501
2021-05-27T14:35:32.354202+00:00,1622126132.354202,217560.55300000004
2021-05-27T14:35:33.329507+00:00,1622126133.329507,217560.605
2021-05-27T14:35:34.330805+00:00,1622126134.330805,217560.65699999998
2021-05-27T14:35:35.338692+00:00,1622126135.338692,217560.70999999996
2021-05-27T14:35:36.338098+00:00,1622126136.338098,217560.76100000003
2021-05-27T14:35:37.342443+00:00,1622126137.342443,217560.812
2021-05-27T14:35:38.329770+00:00,1622126138.32977,217560.865
2021-05-27T14:35:39.342165+00:00,1622126139.342165,217560.91799999998
2021-05-27T14:35:40.333218+00:00,1622126140.333218,217560.968
2021-05-27T14:35:41.332250+00:00,1622126141.33225,217561.02300000004
2021-05-27T14:35:42.363175+00:00,1622126142.363175,217561.075
2021-05-27T14:35:43.329109+00:00,1622126143.329109,217561.12600000002
2021-05-27T14:35:44.344928+00:00,1622126144.344928,217561.18000000002
2021-05-27T14:35:45.336966+00:00,1622126145.336966,217561.231
2021-05-27T14:35:46.329886+00:00,1622126146.329886,217561.28000000006
2021-05-27T14:35:47.347266+00:00,1622126147.347266,217561.33400000003
2021-05-27T14:35:48.332201+00:00,1622126148.332201,217561.38299999997
2021-05-27T14:35:49.335754+00:00,1622126149.335754,217561.43800000002
2021-05-27T14:35:50.340846+00:00,1622126150.340846,217561.48799999998
